년도,월,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
2015년,01월,6.685714286,1023.278704,64.56880734,5.693577982,11.33055556,1.858558559,1.157657658,1.680152672,2.870992366,5.81559633,7.622900763
2015년,02월,6.587037037,1021.779817,63.52727273,5.659090909,10.70818182,1.713761468,1.070642202,1.57109375,2.6390625,5.575925926,7.309375
2015년,03월,4.966115702,1021.147826,67.87769784,8.086330935,10.34892086,1.350704225,0.827659574,1.276,2.251333333,5.222302158,7.585333333
2015년,04월,5.368794326,1016.121127,81.09859155,11.94788732,12.25352113,1.549640288,0.956834532,1.417006803,2.382312925,4.90141844,7.008843537
2015년,05월,3.90729927,1010.08705,84.37410072,15.79136691,15.27410072,0.863432836,0.546564885,0.890322581,1.537419355,4.35,6.64
2015년,06월,3.737931034,1007.527586,90.52054795,18.76575342,18.44383562,0.926896552,0.575172414,0.834,1.464666667,5.003597122,7.014
2015년,07월,4.622972973,1007.606944,91.56060606,21.42575758,21.00833333,1.261486486,0.795918367,1.150967742,1.995483871,5.85,8.23483871
2015년,08월,3.979738562,1008.44589,88.07236842,23.84671053,24.24480519,1.139215686,0.731972789,1.040645161,1.728387097,6.124264706,8.304516129
2015년,09월,5.044776119,1013.566906,78.77697842,21.59407407,22.92446043,1.413432836,0.876119403,1.176666667,2.058666667,5.418333333,7.223333333
2015년,10월,4.914754098,1018.266923,68.32307692,18.40077519,20.50230769,1.265384615,0.780620155,1.175,2.008333333,5.4225,7.339393939
2015년,11월,5.864341085,1022.102817,74.3006993,14.25874126,17.50285714,1.916083916,1.19084507,1.672222222,2.891666667,5.977464789,9.34375
2015년,12월,6.386781609,1023.737791,64.82758621,8.953448276,14.44425287,1.63699422,1.021965318,1.444067797,2.428813559,5.112068966,6.91299435
2016년,01월,7.188235294,1022.753266,61.98039216,5.166176471,12.87684729,2.031840796,1.255445545,1.670283019,2.869811321,5.49009901,7.20754717
2016년,02월,6.895024876,1023.573295,61.91542289,5.882741117,10.67236181,1.845360825,1.140101523,1.686699507,2.93546798,5.286363636,7.273399015
2016년,03월,5.525925926,1021.262037,69.59259259,8.97037037,11.62962963,1.385116279,0.878139535,1.278801843,2.146082949,5.016744186,6.867281106
2016년,04월,5.432380952,1013.735714,80.78571429,13.16714286,13.9,1.44047619,0.899521531,1.423333333,2.384761905,4.990952381,7.263809524
2016년,05월,4.691981132,1012.153241,84.21327014,16.80740741,16.46944444,1.155555556,0.68744186,1.060829493,1.825806452,4.587037037,6.81843318
2016년,06월,4.11952381,1008.280476,90.05769231,20.23952381,19.80142857,1.094761905,0.656585366,0.92,1.609047619,5.119047619,7.05952381
2016년,07월,4.249,1008.6535,90.46969697,23.9305,23.048,1.173869347,0.704522613,0.961881188,1.674129353,5.346231156,7.006435644
2016년,08월,4.786635945,1005.837788,81.21495327,26.91797235,27.09447005,1.32764977,0.78490566,1.093548387,1.90921659,5.061290323,7.078801843
2016년,09월,5.104784689,1012.74067,81.77832512,23.21483254,23.92870813,1.55215311,0.947317073,1.302380952,2.269047619,5.827751196,8.307619048
2016년,10월,6.437209302,1018.185116,73.34741784,19.50849057,21.48651163,1.76744186,1.074418605,1.662672811,2.777419355,5.379069767,7.799539171
2016년,11월,6.441428571,1021.82619,65.51269036,13.37788945,18.11,1.813333333,1.09,1.577142857,2.695238095,5.822439024,7.974761905
2016년,12월,6.878109453,1023.488942,63.69,9.267788462,14.86201923,2.029326923,1.230288462,1.713551402,2.935514019,5.976847291,7.924766355
2017년,01월,7.105853659,1023.89372,61.89230769,6.242028986,12.79854369,2.038647343,1.238647343,1.739252336,2.953738318,6.004040404,8.089719626
2017년,02월,7.021468927,1022.301705,61.96511628,6.08045977,10.81485714,2.076704545,1.265340909,1.791712707,3.048066298,5.968604651,7.852486188
2017년,03월,5.644444444,1019.286473,63.44927536,9.357004831,11.98792271,1.459903382,0.888405797,1.348076923,2.254326923,5.142995169,7.040384615
2017년,04월,5.493333333,1013.316667,77.3047619,13.85047619,13.59238095,1.374285714,0.840191388,1.246190476,2.152857143,5.039047619,6.87047619
2017년,05월,4.253023256,1012.644186,82.17209302,16.93534884,16.22837209,0.991162791,0.59478673,0.874654378,1.532258065,4.807246377,6.756221198
2017년,06월,3.958653846,1008.882212,86.08252427,19.70926829,19.22451923,1.0125,0.609615385,0.876190476,1.54,5.331,7.266190476
2017년,07월,4.365700483,1008.204348,92.74054054,23.95628141,22.68985507,1.062318841,0.644660194,0.878672986,1.538388626,5.228019324,7.056398104
2017년,08월,5.199539171,1007.067757,82.87383178,26.71682243,26.72056075,1.407834101,0.84516129,1.133179724,1.985253456,5.493896714,7.537327189
2017년,09월,5.162200957,1012.084689,75.33492823,23.2122549,23.93349282,1.40430622,0.844019139,1.206666667,2.08952381,5.426086957,7.580952381
2017년,10월,6.804672897,1019.075234,71.22429907,19.24813084,21.41915888,2.068224299,1.264788732,1.788372093,3.070697674,5.940952381,7.846511628
2017년,11월,6.07038835,1021.706796,60.13106796,12.72718447,17.62621359,1.563106796,0.939512195,1.394711538,2.375480769,5.68226601,8.199519231
2017년,12월,6.853738318,1024.505991,57.71428571,5.996313364,13.72442396,1.868202765,1.133179724,1.639631336,2.779723502,5.99478673,8.203686636
2018년,01월,6.917821782,1022.732673,61.87623762,3.631188119,11.51732673,1.99950495,1.213861386,1.653431373,2.830882353,6.187939698,8.480882353
2018년,02월,6.633510638,1022.366667,59.03743316,4.639037433,9.852197802,1.840740741,1.113227513,1.592857143,2.709693878,5.8875,8.080102041
2018년,03월,6.223611111,1018.945161,76.12149533,9.35450237,11.01474654,2.047004608,1.257476636,1.806451613,3.064516129,5.93286385,8.232258065
2018년,04월,5.874,1015.615865,78.84134615,13.19170732,13.32740385,1.591904762,0.955980861,1.473809524,2.514761905,5.277669903,7.622380952
2018년,05월,5.451578947,1011.656784,85.22613065,16.49899497,16.20703518,1.36969697,0.821212121,1.189108911,2.037931034,5.089230769,7.131527094
2018년,06월,4.69952381,1008.137619,87.24509804,20.39411765,19.69809524,1.186057692,0.707729469,0.979047619,1.730952381,5.480882353,7.613333333
2018년,07월,4.651851852,1008.286916,90.14354067,25.02583732,24.28173077,1.315740741,0.792523364,1.131797235,1.985714286,6.061137441,8.333179724
2018년,08월,5.30875576,1007.182629,85.84976526,27.04428571,26.62629108,1.510138249,0.902304147,1.276958525,2.216129032,5.96509434,8.101382488
2018년,09월,5.997979798,1012.270149,77.86868687,22.90858586,23.75124378,1.598507463,0.959701493,1.319211823,2.309852217,6.067010309,8.420197044
2018년,10월,5.967942584,1017.92878,63.61386139,17.94202899,20.39371981,1.630143541,0.982211538,1.502843602,2.540758294,5.518316832,8.410900474
2018년,11월,5.038571429,1022.610096,61.5215311,14.15311005,17.50669856,1.191428571,0.717874396,1.078571429,1.859047619,5.255172414,8.501428571
2018년,12월,6.94,1025.478802,59.11162791,7.713488372,14.7127451,1.794009217,1.073271889,1.503686636,2.579723502,5.688995215,8.746082949
2019년,01월,6.776119403,1024.749746,50.36683417,6.050753769,12.20100503,1.669651741,0.99800995,1.425853659,2.457560976,5.537563452,8.447804878
2019년,02월,6.170718232,1022.855249,60.39534884,6.98839779,11.40883978,1.510497238,0.903888889,1.317486339,2.295081967,5.492134831,9.231693989
2019년,03월,6.131336406,1017.21729,67.43317972,9.942857143,12.03732719,1.52718894,0.913888889,1.413824885,2.428110599,5.255140187,8.3
2019년,04월,5.255502392,1015.091304,73.36097561,12.55512195,13.41578947,1.28708134,0.773170732,1.168095238,2.044761905,5.071428571,8.032857143
2019년,05월,4.487128713,1012.215714,78.35576923,17.14,16.34952381,0.990654206,0.588207547,0.898611111,1.585648148,4.542647059,7.417592593
2019년,06월,4.255223881,1007.347549,85.4589372,19.69227053,19.53043478,1.125728155,0.685643564,0.991826923,1.733653846,5.412745098,8.796634615
2019년,07월,5.2,1006.366204,90.64186047,22.60976744,21.8,1.329953917,0.794930876,1.077880184,1.899078341,5.762559242,8.5359447
2019년,08월,4.471904762,1006.991262,85.41346154,25.60384615,25.29711538,1.320952381,0.78952381,1.103773585,1.952358491,6.095652174,9.38254717
2019년,09월,5.687254902,1013.296392,83.25490196,23.04607843,23.42673267,1.755612245,1.068556701,1.60959596,2.72979798,5.842783505,9.285353535
2019년,10월,6.448186528,1017.714516,69.58333333,19.44479167,21.8609375,2.034895833,1.223958333,1.83025641,3.156410256,6.14973545,9.561025641
2019년,11월,6.30052356,1021.350785,64.02590674,14.43264249,18.28290155,1.724870466,1.030051813,1.567857143,2.718367347,5.521693122,8.643367347
2019년,12월,6.415865385,1024.18,61.39423077,9.111057692,14.82211538,1.645673077,0.992307692,1.48708134,2.553110048,5.523152709,8.620095694
2020년,01월,6.931034483,1021.704478,63.72058824,7.925,12.9079602,2.075,1.208457711,1.727941176,3.002439024,5.882474227,8.973039216
2020년,02월,6.214948454,1023.618229,66.04145078,7.914507772,11.6408377,1.83626943,1.093782383,1.562244898,2.712244898,6.127717391,9
2020년,03월,6.583505155,1017.744041,66.19895288,10.196875,12.37512953,1.708247423,1.039690722,1.532,2.5785,5.748888889,8.262944162
2020년,04월,6.53952381,1017.20381,64.06280193,12.0291866,13.54809524,1.678095238,1.012857143,1.563333333,2.636190476,5.5,7.89047619
2020년,05월,4.972985782,1010.667299,83.34123223,16.00900474,15.69526066,1.209004739,0.731578947,1.090140845,1.884507042,5.193193717,7.366666667
2020년,06월,4.247120419,1006.518947,88.73369565,19.9826087,19.5434555,1.091099476,0.668062827,0.952083333,1.646354167,5.470718232,7.433333333
2020년,07월,4.411483254,1007.00625,91.43646409,21.28387097,20.79758454,1.401442308,0.848557692,1.216431925,2.075586854,6.086666667,7.959624413
2020년,08월,4.6415,1009.24,90.73469388,25.2135,24.25309278,1.369,0.843367347,1.221904762,2.081428571,5.832240437,8.218571429
2020년,09월,6.164676617,1011.306965,78.60696517,22.23333333,23.22684211,1.942288557,1.182089552,1.802439024,3.042439024,5.811111111,8.284878049
2020년,10월,6.099516908,1019.28835,63.24271845,18.07365854,20.60582524,1.546859903,0.937198068,1.311059908,2.211981567,5.530526316,7.325345622
2020년,11월,6.243157895,1023.771014,63.51923077,13.62259615,17.43557692,1.508695652,0.922705314,1.326190476,2.267619048,5.4,7.706666667
2020년,12월,6.698076923,1024.784762,59.01435407,6.733492823,14.37857143,1.661904762,1.019047619,1.456603774,2.501415094,5.179802956,7.248584906
2021년,01월,7.12,1023.432258,64.80751174,5.152534562,11.90138249,2.026728111,1.244700461,1.799539171,3.061290323,5.821463415,7.794009217
2021년,02월,7.117391304,1020.715676,66.34782609,7.511351351,11.75567568,2.06010929,1.270652174,1.772192513,2.978609626,5.655801105,7.55026738
2021년,03월,6.168981481,1019.283871,74.76497696,10.58064516,12.38194444,1.7,1.052314815,1.576036866,2.624423963,5.344117647,7.289861751
2021년,04월,5.930232558,1018.247143,72.35714286,13.68659218,13.94338624,1.616746411,0.989903846,1.47,2.56047619,5.371052632,7.20047619
2021년,05월,5.072463768,1009.460829,81.61352657,16.56570048,16.25806452,1.313023256,0.800465116,1.212442396,2.103225806,5.194949495,6.980645161
2021년,06월,4.248924731,1007.937097,88.13259669,20.46344086,20.12688172,0.976344086,0.599447514,0.85,1.487634409,4.905389222,6.556451613
2021년,07월,4.818226601,1008.20297,88.10152284,25.59851485,24.74653465,1.21182266,0.753233831,0.994634146,1.704390244,5.401075269,6.964390244
2021년,08월,4.882075472,1008.113208,85.19811321,26.35849057,26.21084906,1.500943396,0.93492823,1.302304147,2.219354839,5.643283582,7.207373272
2021년,09월,6.509661836,1012.712621,79.91747573,24.33578431,24.5038835,1.614210526,1.000534759,1.348704663,2.347150259,5.051912568,6.436787565
2021년,10월,5.805140187,1020.23662,71.07042254,20.38967136,22.94413146,1.566197183,0.976886792,1.424884793,2.416129032,5.016431925,6.317511521
2021년,11월,6.20959596,1019.280905,63.95477387,14.91005025,18.02110553,1.53030303,0.952020202,1.300497512,2.231343284,4.662626263,5.88358209
2021년,12월,7.228643216,1023.8265,62.14,8.767,14.7,1.919,1.198,1.675362319,2.820289855,5.1055,6.620772947
2022년,01월,6.502843602,1023.530332,60.06635071,6.034597156,12.2563981,1.808530806,1.134597156,1.565740741,2.632407407,5.411374408,6.7875
2022년,02월,7.159776536,1024.807692,59.95054945,5.059340659,10.4956044,1.804395604,1.142307692,1.557608696,2.63423913,5.017032967,6.341847826
2022년,03월,5.8,1017.549462,73.57754011,9.762032086,10.54973262,1.501612903,0.918478261,1.382978723,2.380319149,4.966666667,6.581914894
2022년,04월,5.159330144,1017.220192,78.3236715,13.84134615,13.59326923,1.284688995,0.78708134,1.128571429,1.983809524,4.602870813,6.008571429
2022년,05월,4.662211982,1012.885253,79.24186047,17.21843318,16.41382488,0.947004608,0.579166667,0.867281106,1.519815668,4.246543779,5.646543779
2022년,06월,5.891282051,1008.056667,89.27319588,20.92666667,19.76553398,1.48952381,0.915789474,1.245238095,2.173809524,5.136666667,6.295714286
2022년,07월,4.309424084,1006.155556,90.65957447,25.28009259,24.1962963,1.151152074,0.706018519,0.976497696,1.71797235,5.259907834,6.524423963
2022년,08월,5.228773585,1007.624074,87.01843318,26.26175115,25.65760369,1.299539171,0.796313364,1.083410138,1.874654378,5.009677419,6.268663594
2022년,09월,6.576111111,1011.931977,80.98666667,23.46055556,23.95833333,2.011666667,1.243888889,1.875543478,3.185326087,5.272067039,7.102717391
2022년,10월,6.635119048,1021.127586,68.6453202,18.33546798,21.11083744,1.720197044,1.075879397,1.55,2.650490196,4.905445545,6.304901961
2022년,11월,5.822380952,1020.426316,66.05263158,15.83923445,18.4923445,1.43952381,0.896190476,1.29952381,2.22,4.807619048,6.241428571
2022년,12월,7.288479263,1023.614286,61.67741935,6.528571429,14.83087558,2.029493088,1.261751152,1.740552995,2.944700461,5.303225806,6.557603687
2023년,01월,6.712037037,1023.644444,64.18518519,6.277464789,12.2037037,1.858796296,1.156744186,1.660368664,2.785253456,5.033796296,6.539631336
2023년,02월,6.004102564,1024.719487,66.44102564,7.502051282,11.54153846,1.573333333,0.974358974,1.429591837,2.412755102,4.620512821,6.135714286
2023년,03월,5.359895833,1020.485938,72.60209424,11.14166667,12.11875,1.189583333,0.749468085,1.1140625,1.9015625,4.321875,5.709895833
2023년,04월,6.446774194,1015.443316,75.19459459,13.72085561,14.15935829,1.601081081,1,1.414572864,2.402512563,4.547311828,5.727135678
2023년,05월,4.99124424,1013.417512,86.25233645,17.05668203,16.56082949,1.205069124,0.753051643,1.0640553,1.847926267,4.337788018,5.624884793
2023년,06월,4.502857143,1007.724286,89.91709845,20.97619048,20.3052381,1.036190476,0.649038462,0.904761905,1.562857143,4.675714286,5.857619048
2023년,07월,4.485714286,1008.35787,93.77894737,24.24654378,22.85781991,1.299539171,0.807407407,1.040092166,1.820276498,5.352606635,6.430985915
2023년,08월,5.11627907,1005.534101,87.19371728,27.00967742,26.62119816,1.42744186,0.899061033,1.233640553,2.119815668,5.12372093,6.323502304
2023년,09월,5.162857143,1012.562381,81.01428571,25.01633663,25.94238095,1.357788945,0.860824742,1.211055276,2.07839196,4.502857143,5.77
2023년,10월,5.463425926,1018.51713,65.20833333,19.40694444,21.83935185,1.356218905,0.851,1.222772277,2.05990099,4.542592593,5.980184332
2023년,11월,6.889268293,1023.281553,65.68932039,13.03989362,17.96165049,1.768292683,1.115270936,1.612019231,2.743269231,4.472682927,5.851442308
2023년,12월,6.733333333,1024.268605,66.8372093,7.971257485,14.6122093,1.825146199,1.149122807,1.576683938,2.652331606,4.579532164,5.71761658
2024년,01월,7.435636364,1023.697881,64.50092081,6.598137803,13.56087751,1.821857923,1.152823315,1.598207885,2.670071685,4.663752277,6.340681004
2024년,02월,7.459569892,1023.260652,68.5835141,7.763834423,12.79454148,1.892043011,1.192473118,1.705720339,2.837076271,4.808387097,6.402966102
2024년,03월,6.412969283,1019.462752,71.00675676,10.93166667,13.27959866,1.651535836,1.040893471,1.52483871,2.508709677,5.162798635,7.041612903
2024년,04월,5.997643098,1016.4,77.90410959,13.77687075,14.16768707,1.715824916,1.076689189,1.57885906,2.613758389,5.382711864,7.001683502
2024년,05월,4.817799353,1012.23541,86.66775244,16.54723127,15.98534202,1.388673139,0.880858086,1.257419355,2.065483871,5.241423948,6.992258065
2024년,06월,4.311333333,1008.308389,91.84931507,20.02,19.41,1.419333333,0.895317726,1.227666667,2.035,5.626666667,7.074333333
2024년,07월,4.475570033,1008.245779,93.72312704,23.90915033,22.95876623,1.798058252,1.131270358,1.494193548,2.493870968,6.494822006,7.786129032
2024년,08월,5.1,1007.518531,86.85765125,26.62429577,26.30173611,1.821830986,1.145390071,1.54950495,2.559405941,6.369014085,7.853135314
2024년,09월,6.561672474,1012.440268,80.33444816,23.82013423,24.35919732,1.899331104,1.191304348,1.716,2.811333333,5.996655518,7.798
2024년,10월,6.537414966,1018.834884,69.99348534,19.69055375,21.35163399,1.659672131,1.046864686,1.541935484,2.513225806,5.33960396,7.299677419
2024년,11월,6.316027875,1021.810738,67.9261745,14.66543624,17.61812081,1.387919463,0.880536913,1.285666667,2.069666667,4.773825503,6.624
2024년,12월,7.547462687,1024.346687,64.23283582,8.526268657,15.30988024,1.608656716,1.021492537,1.449266862,2.417008798,4.544776119,6.496187683
