date,수온(30m),염분(30m),용존산소(30m),수온(50m),염분(50m),용존산소(50m),생산량
2014-07-01,20.75,33.2,5.24,16.05,33.835,4.7714,4155
2014-08-01,23.1,32.44,4.77,16.6,33.45,4.4857,14437
2014-09-01,22.85,33.16,4.69,19.4,33.675,4.3714,11595
2014-10-01,22.6,33.88,4.6,22.2,33.9,4.2571,10309
2014-11-01,19.55,34.105,4.79,19.3,34.11,4.61425,26189
2014-12-01,16.5,34.33,4.97,16.4,34.32,4.9714,28457
2015-01-01,14.75,34.36,5.53,14.55,34.335,5.4007,13198
2015-02-01,13,34.39,6.09,12.7,34.35,5.83,6464
2015-03-01,13.45,34.245,5.95,13.2,34.21,5.845,12532
2015-04-01,13.9,34.1,5.8,13.7,34.07,5.86,9890
2015-05-01,17.1,33.885,5.77,14.3,33.88,5.4,15
2015-06-01,20.3,33.67,5.74,14.9,33.69,4.94,3245
2015-07-01,20.85,32.995,5.6,15.25,33.6,4.555,5568
2015-08-01,21.4,32.32,5.46,15.6,33.51,4.17,12866
2015-09-01,20.2,32.075,5.23,16,33.585,3.77,10058
2015-10-01,19,31.83,5,16.4,33.66,3.37,12177
2015-11-01,17.75,32.775,5.06,16.45,33.855,3.715,12694
2015-12-01,16.5,33.72,5.11,16.5,34.05,4.06,13593
2016-01-01,14.1,33.96,5.54,14.05,34.12,5.0157,14466
2016-02-01,11.7,34.2,5.97,11.6,34.19,5.9714,2065
2016-03-01,13.8,34.365,5.91,13.25,34.335,5.9857,3105
2016-04-01,15.9,34.53,5.86,14.9,34.48,6,4885
2016-05-01,15.65,34.19,5.8,14.95,34.355,5.42855,1352
2016-06-01,15.4,33.85,5.74,15,34.23,4.8571,1761
2016-07-01,17.15,33.52,4.97,15.1,34.11,4.3714,4400
2016-08-01,18.9,33.19,4.2,15.2,33.99,3.8857,10432
2016-09-01,20.35,32.85,4.57,16.85,33.34,3.6714,15717
2016-10-01,21.8,32.51,4.94,18.5,32.69,3.4571,15793
2016-11-01,19.95,33.39,5.03,18.35,33.5,4.3,25634
2016-12-01,18.1,34.27,5.11,18.2,34.31,5.1429,14473
2017-01-01,16,34.385,5.49,16.05,34.405,5.41445,8352
2017-02-01,13.9,34.5,5.86,13.9,34.5,5.686,2358
2017-03-01,14.75,34.565,5.87,14.35,34.535,5.7285,1553
2017-04-01,15.6,34.63,5.89,14.8,34.57,5.771,175
2017-05-01,16,34.32,5.91,15.1,34.41,5.3285,540
2017-06-01,16.4,34.01,5.94,15.4,34.25,4.886,1762
2017-07-01,18.35,33.74,5.21,15.75,33.92,4.6,5981
2017-08-01,20.3,33.47,4.49,16.1,33.59,4.314,11821
2017-09-01,20.45,33.6875,4.76,18.35,33.775,4.6855,8402
2017-10-01,20.6,33.905,5.03,20.6,33.96,5.057,4603
2017-11-01,18.2,34.1225,5.11,18.15,34.145,5.0285,8152
2017-12-01,15.8,34.34,5.2,15.7,34.33,5,30662
2018-01-01,14.05,34.425,5.6,13.9,34.41,5.2145,14271
2018-02-01,12.3,34.51,6,12.1,34.49,5.429,2275
2018-03-01,13.1,34.455,6.2,12.9,34.435,5.8425,9874
2018-04-01,13.9,34.4,6.39,13.7,34.38,6.256,2765
2018-05-01,17.1,34.03,5.87,14.5,34.285,5.4425,2
2018-06-01,20.3,33.66,5.34,15.3,34.19,4.629,89
2018-07-01,20.25,33.405,5.5,15.9,33.96,4.6715,7950
2018-08-01,20.2,33.15,5.66,16.5,33.73,4.714,10674
2018-09-01,21.25,33.57,5.45,19.45,33.895,4.814,18739
2018-10-01,22.3,33.99,5.24,22.4,34.06,4.914,15213
2018-11-01,19.2,34.015,5.04,19.3,34.2,4.314,18957
2018-12-01,16.1,34.04,4.83,16.2,34.34,3.714,9546
2019-01-01,15.45,34.28,5.29,14.6,34.31,4.79985,15328
2019-02-01,14.8,34.52,5.74,13,34.28,5.8857,1687
2019-03-01,15.95,34.55,5.81,14.6,34.41,5.3,1604
2019-04-01,17.1,34.58,5.87,16.2,34.54,4.7143,762
2019-05-01,16.85,34.17,5.94,15.9,34.385,4.8,78
2019-06-01,16.6,33.76,6,15.6,34.23,4.8857,60
2019-07-01,17.45,33.385,5.59,15.6,34.02,4.64285,1199
2019-08-01,18.3,33.01,5.17,15.6,33.81,4.4,4964
2019-09-01,19.85,33.195,5.13,18.5,33.595,3.95715,4616
2019-10-01,21.4,33.38,5.09,21.4,33.38,3.5143,6956
2019-11-01,20.25,33.885,5.04,19.8,33.83,4.35715,10895
2019-12-01,19.1,34.39,5,18.2,34.28,5.2,32883
2020-01-01,17.15,34.475,5.53,16.7,34.42,5.77145,3475
2020-02-01,15.2,34.56,6.06,15.2,34.56,6.3429,8258
2020-03-01,14.9,34.505,6.13,14.65,34.455,6.1286,3051
2020-04-01,14.6,34.45,6.2,14.1,34.35,5.9143,348
2020-05-01,15.15,34.15,5.77,14.4,34.105,5.55715,141
2020-06-01,15.7,33.85,5.34,14.7,33.86,5.2,198
2020-07-01,17.45,33.77,4.79,16.3,34,4.8,5481
2020-08-01,19.2,33.69,4.23,17.9,34.14,4.4,4492
2020-09-01,20.45,33.295,4.19,19.05,33.715,3.97145,6553
2020-10-01,21.7,32.9,4.14,20.2,33.29,3.5429,8015
2020-11-01,19.7,33.53,4.46,18.65,33.67,4.18575,13032
2020-12-01,17.7,34.16,4.77,17.1,34.05,4.8286,10044
2021-01-01,16.35,34.44,5.3,15.95,34.38,5.4,10747
2021-02-01,15,34.72,5.83,14.8,34.71,5.9714,6008
2021-03-01,16,34.685,5.69,14.9,34.625,5.6857,4216
2021-04-01,17,34.65,5.54,15,34.54,5.4,2361
2021-05-01,17.4,34.47,5.61,15.95,34.48,5.25715,89
2021-06-01,17.8,34.29,5.69,16.9,34.42,5.1143,171
2021-07-01,18.3,34.15,5.2,16.5,34.21,4.45715,2584
2021-08-01,18.8,34.01,5.2,16.1,34,3.8,5806
2021-09-01,19.8,33.235,4.8,19,33.74,4.0143,13591
2021-10-01,23.2,33.8,4.66,21.9,33.48,4.2286,11448
2021-11-01,20.2,33.99,4.6857,19.45,33.845,4.37145,16245
2021-12-01,17.2,34.18,4.9143,17,34.21,5.243,26718
2022-01-01,15.65,34.31,5.75715,15.3,34.285,5.68,13448
2022-02-01,14.1,34.44,5.6,13.6,34.36,5.557,2162
2022-03-01,14.7,34.39,5.8143,13.6,34.15,5.75715,3340
2022-04-01,15.3,34.34,5.83,13.6,33.94,5.8286,151
2022-05-01,16.95,34.14,5.76,14.7,34.02,5.4,232
2022-06-01,18.6,33.94,5.69,15.8,34.1,4.9714,585
2022-07-01,19.3,33.38,4.82855,17.65,34.22,4.4857,2507
2022-08-01,20,32.82,3.8714,19.5,34.34,3.7,3900
2022-09-01,21.35,34.325,4.01425,20.9,34.145,4.4,5494
2022-10-01,21.7,33.03,4.4571,22.3,33.55,3.7,5339
2022-11-01,19.55,32.755,4.81425,19,32.755,4.3,12592
2022-12-01,16.4,33.128,4.1714,15.7,34.16,4.2,24533
