date	수온	염분	용존산소	기압	평균 풍속(m/s)	평균 상대습도(%)	평균 기온(°C)	생산량
2016-01-01	15.3	34.23	5.8495	1033.5	7.15483871	55.09677419	5.825806452	14466
2016-02-01	13.2	34.39	6.379	1029	7.14137931	56.27586207	7.055172414	2065
2016-03-01	14.4	34.47	6.2288	1024.5	6.490322581	65.25806452	10.35483871	3105
2016-04-01	15.6	34.55	6.0786	1020	6.853333333	77.13333333	14.39666667	4885
2016-05-01	16.7	34.24	5.6041	1017.5	5.706451613	83.64516129	17.91935484	1352
2016-06-01	17.7	33.93	5.1296	1015	5.296666667	88.6	21.22333333	1761
2016-07-01	19.7	33.685	4.90105	1010.5	5.277419355	87.74193548	24.69354839	4400
2016-08-01	21.7	33.44	4.6725	1006	6.119354839	75.96774194	27.71612903	10432
2016-09-01	22.2	33.37	4.86365	1012.5	5.99	79.56666667	23.71333333	15717
2016-10-01	22.7	33.3	5.0548	1019	6.241935484	70.38709677	20.12258065	15793
2016-11-01	20.05	33.725	4.9724	1026	6.616666667	60.3	14.74666667	25634
2016-12-01	17.4	34.15	4.89	1033	6.912903226	57.87096774	10.88709677	14473
2017-01-01	16	34.375	5.2398	1031	7.329032258	56.61904762	7.833333333	8352
2017-02-01	14.6	34.6	5.5896	1029	7.3	52.69230769	7.184615385	2358
2017-03-01	14.95	34.64	5.6603	1024.5	6.112903226	54.64516129	11.05483871	1553
2017-04-01	15.3	34.68	5.731	1020	6.95	72.96666667	16.37	175
2017-05-01	17.45	34.195	5.6465	1014.5	5.441935484	80.90322581	17.70645161	540
2017-06-01	19.6	33.71	5.562	1009	4.803571429	83.53571429	20.25555556	1762
2017-07-01	19.55	33.45	5.3075	1014.5	6.660869565	92.60869565	25.05652174	5981
2017-08-01	19.5	33.19	5.053	1020	6.070967742	85.48387097	27.78064516	11821
2017-09-01	20.7	33.535	4.797	1022.5	5.663333333	72.9	24.96333333	8402
2017-10-01	21.9	33.88	4.541	1025	7.541935484	70.70967742	21.18387097	4603
2017-11-01	19	34.115	4.661	1029.5	6.833333333	56.76666667	14.90666667	8152
2017-12-01	16.1	34.35	4.781	1034	7.358064516	53.22580645	7.693548387	30662
2018-01-01	15.4	34.43	5.012	1029	6.887096774	57.16129032	6.009677419	14271
2018-02-01	14.7	34.51	5.243	1025	6.596296296	55.40740741	6.918518519	2275
2018-03-01	14	34.59	5.42	1021	8.312903226	72.64516129	12.01935484	9874
2018-04-01	15.1	34.56	5.476	1022	7.596666667	77.1	15.07666667	2765
2018-05-01	16.4	34.295	5.5415	1018.5	6.652	85.72	18.88	2
2018-06-01	17.7	34.03	5.607	1015	5.936666667	87.93333333	22.11333333	89
2018-07-01	22.15	33.465	5.0495	1013	5.88	91.79310345	26.1862069	7950
2018-08-01	26.6	32.9	4.492	1011	6.080645161	84.35483871	28.90322581	10674
2018-09-01	23.25	33.325	4.6655	1019	6.633333333	76.46666667	24.95	18739
2018-10-01	19.9	33.75	4.839	1027	6.1	62.5483871	20.03870968	15213
2018-11-01	18.7	33.995	4.8245	1026.5	5.163333333	57.1	16.54	18957
2018-12-01	17.5	34.24	4.81	1026	6.841935484	59.48387097	10.42903226	9546
2019-01-01	16.55	34.37	4.79561	1026.5	7.038709677	53.90322581	9.232258065	15328
2019-02-01	15.6	34.59	4.78122	1027	6.096428571	57.5	10.19285714	1687
2019-03-01	15.95	34.57	4.76683	1026	7.096774194	62.35483871	13.06129032	1604
2019-04-01	16.3	34.56	4.75244	1025	6.526666667	69.44827586	14.92758621	762
2019-05-01	18.1	34.11	4.73805	1022	4.883333333	77.68965517	19.59677419	78
2019-06-01	19.9	33.65	4.72366	1020	5.656	83.83333333	20.67666667	60
2019-07-01	21.7	33.19	4.70927	1018	6.896774194	90.96774194	23.84193548	1199
2019-08-01	22	33.48	4.69488	1015	5.535483871	86.80645161	26.25806452	4964
2019-09-01	22.75	33.76	4.68049	1017	6.306666667	82.13333333	24.71	4616
2019-10-01	23.5	34.03	4.6661	1020	7.138709677	67.70967742	20.36451613	6956
2019-11-01	21.25	34.12	5.1628	1025	5.653333333	56.06666667	17.06666667	10895
2019-12-01	19.05	34.21	5.6595	1023	6.227272727	57.45454545	11.7	32883
2020-01-01	17	34.31	6.1562	1021	7.476666667	60.19354839	9.909677419	3475
2020-02-01	14.5	34.4	6.6529	1023	6.337931034	60.27586207	9.862068966	8258
2020-03-01	14.95	34.47	6.6963	1017.5	7.258064516	61.09677419	12.41612903	3051
2020-04-01	15.4	34.54	6.7397	1012	7.296666667	60.96666667	14.09666667	348
2020-05-01	16	33.975	6.84655	1009.5	5.835483871	83.80645161	17.76451613	141
2020-06-01	16.6	33.41	6.9534	1007	5.313333333	88.4	21.81333333	198
2020-07-01	21	32.935	6.5858	1007	5.248387097	90.37931034	22.78709677	5481
2020-08-01	25.4	32.46	6.2182	1007	6.806451613	90.10344828	27.25483871	4492
2020-09-01	23.8	32.75	5.7689	1010	7.973333333	79.36666667	23.31333333	6553
2020-10-01	22.3	33.04	5.3209	1014	6.446666667	63.4	18.78275862	8015
2020-11-01	20.8	33.34	4.8729	1017	5.98	59.13333333	14.69666667	13032
2020-12-01	19.3	34.46	4.5479	1017	7.038709677	54.64516129	7.664516129	10044
2021-01-01	16.85	34.55	5.11145	1020	7.583333333	59.03225806	6.035483871	10747
2021-02-01	14.4	34.64	5.675	1023	7.496428571	60.46428571	8.857142857	6008
2021-03-01	15.35	34.67	5.2425	1023.5	7.206666667	67.06451613	12.03225806	4216
2021-04-01	16.3	34.7	4.81	1024		68.8	15.84444444	2361
2021-05-01	18.3	34.155	4.76	1016.5	5.50952381	79.90322581	17.4	89
2021-06-01	20.3	33.61	4.71	1009	6.35	85.16666667	19.86666667	171
2021-07-01	21.45	33.26	4.375	1008.5	4.461111111	87.77777778	29.05	2584
2021-08-01	22.6	32.91	4.04	1008	6.190322581	86.48387097	28.50967742	5806
2021-09-01	22.7	33.26	4.15	1011	7.273333333	80.2	26.56333333	13591
2021-10-01	22.8	33.61	4.26	1015	6.006451613	72.41935484	23.49354839	11448
2021-11-01	22.8	33.97	4.37	1018	6.733333333	61.6	18.62	16245
2021-12-01	17.7	34.2	4.53	1009	7.432258065	61.03225806	12.60967742	26718
2022-01-01	15.75	34.305	5.0108	1012	6.125806452	56.87096774	10.09032258	13448
2022-02-01	13.8	34.41	5.4916	1015	7.096428571	57.64285714	9.310714286	2162
2022-03-01	15.15	34.475	5.606275	1014.5	6.696774194	70.03225806	13.33225806	3340
2022-04-01	16.5	34.54	5.72095	1014	6.893333333	73.46666667	15.97333333	151
2022-05-01	18.8	34.33	5.337975	1009	6.225806452	75.83870968	18.9516129	232
2022-06-01	21.1	34.12	4.955	1004	7.533333333	88	22.07	585
2022-07-01	20.05	33.605	5.147925	1006.5	4.5	90.87096774	25.90322581	2507
2022-08-01	19	33.09	5.34085	1009	7.022580645	86.41935484	27.20322581	3900
2022-09-01	20.9	33.325	5.34085	1016.5	7.513333333	81.85714286	24.06666667	5494
2022-10-01	22.8	33.56	5.34085	1024	7.753333333	64.87096774	19.69354839	5339
2022-11-01	20.55	33.91	5.34085	1023	5.63	57.66666667	17.82	24533
2022-12-01	18.3	34.26	5.34085	1022	6.870967742	54.70967742	8.196774194	16592
